07/07/2023 - 17:36:55 | URL: https://alura.com.brStatus: true
07/07/2023 - 17:36:56 | URL: https://web-production-c42c.up.railway.app/Status: true
07/07/2023 - 17:36:56 | URL: https://api.cryptoscamdb.org/Status: false
07/07/2023 - 17:36:56 | URL: https://alura.com.brStatus: true
07/07/2023 - 17:36:57 | URL: https://web-production-c42c.up.railway.app/Status: true
07/07/2023 - 17:36:57 | URL: https://api.cryptoscamdb.org/Status: false
07/07/2023 - 17:36:57 | URL: https://alura.com.brStatus: true
07/07/2023 - 17:36:57 | URL: https://web-production-c42c.up.railway.app/Status: true
07/07/2023 - 17:36:57 | URL: https://api.cryptoscamdb.org/Status: false
07/07/2023 - 17:36:57 | URL: https://alura.com.brStatus: true
07/07/2023 - 17:36:57 | URL: https://web-production-c42c.up.railway.app/Status: true
07/07/2023 - 17:36:57 | URL: https://api.cryptoscamdb.org/Status: false
07/07/2023 - 17:36:57 | URL: https://alura.com.brStatus: true
07/07/2023 - 17:36:57 | URL: https://web-production-c42c.up.railway.app/Status: true
07/07/2023 - 17:36:57 | URL: https://api.cryptoscamdb.org/Status: false
07/07/2023 - 17:42:37 | URL: https://alura.com.brStatus: true
07/07/2023 - 17:42:38 | URL: https://web-production-c42c.up.railway.app/Status: true
07/07/2023 - 17:42:38 | URL: https://api.cryptoscamdb.org/Status: false
07/07/2023 - 17:42:38 | URL: https://alura.com.brStatus: true
07/07/2023 - 17:42:39 | URL: https://web-production-c42c.up.railway.app/Status: true
07/07/2023 - 17:42:39 | URL: https://api.cryptoscamdb.org/Status: false
07/07/2023 - 17:42:39 | URL: https://alura.com.brStatus: true
07/07/2023 - 17:42:39 | URL: https://web-production-c42c.up.railway.app/Status: true
07/07/2023 - 17:42:39 | URL: https://api.cryptoscamdb.org/Status: false
07/07/2023 - 17:42:39 | URL: https://alura.com.brStatus: true
07/07/2023 - 17:42:39 | URL: https://web-production-c42c.up.railway.app/Status: true
07/07/2023 - 17:42:39 | URL: https://api.cryptoscamdb.org/Status: false
07/07/2023 - 17:42:39 | URL: https://alura.com.brStatus: true
07/07/2023 - 17:42:40 | URL: https://web-production-c42c.up.railway.app/Status: true
07/07/2023 - 17:42:40 | URL: https://api.cryptoscamdb.org/Status: false
